year	title
1900	After Dark in Central Park
1900	Boarding School Girls' Pajama Parade
1900	Buffalo Bill's Wild West Parad
1900	Caught
1900	Clowns Spinning Hats
1900	Capture of Boer Battery by British
1900	The Enchanted Drawing
1900	Family Troubles
1900	Feeding Sea Lions
1900	How to Make a Fat Wife Out of Two Lean Ones
1900	New Life Rescue
1900	New Morning Bath
1900	Searching Ruins on Broadway, Galveston, for Dead Bodies
1900	The Tribulations of an Amateur Photographer
1900	Trouble in Hogan's Alley
1900	Two Old Sparks
1900	The Wonder, Ching Ling Foo
1900	Watermelon Contest
1901	Acrobats in Cairo
1901	An Affair of Honor
1901	Another Job for the Undertaker
1901	Arrival of Tongkin Train
1901	The Artist's Dilemma
1901	Band and Battalion of the U.S. Indian School
1901	Barnum and Bailey's Circus
1901	Beef Extract Room
1901	Boxing in Barrels
1901	Branding Hams
1901	Buffalo Street Parade
1901	A Busy Corner at Armour's
1901	The Bund, Shanghai
1901	Circular Panorama of the Base of the Electric Tower, Ending Looking Down the Mall
1901	Circular Panorama of the Electric Tower and Pond
1901	Circular Panorama of the Esplanade with the Electric Tower in the Background
1901	Coaling a Steamer, Nagasaki Bay, Japan
1901	Convention of Railroad Passengers Agents
1901	The Cook's Revenge
1901	Cornell-Columbia-University of Pennsylvania Boat Race at Ithaca, N.Y., Showing Lehigh Valley Observation Train
1901	Couchee Dance on the Midway
1901	The Donkey Party
1901	The Finish of Bridget McKeen
1901	Follow the Leader
1901	The Fraudulent Beggar
1901	Fun at a Children's Party
1901	A Good Joke
1901	The Gordon Sisters Boxing
1901	Grand Entry, Indian Congress
1901	Happy Hooligan April-Fooled
1901	Happy Hooligan Surprised
1901	Harbor of Shanghai
1901	A Hold-Up
1901	Ice-Boat Racing at Redbank, N.J.
1901	Indians No. 1
1901	Jeffries and Ruhlin Sparring Contest at San Francisco, Cal., November 15, 1901
1901	A Joke on Grandma
1901	Kansas Saloon Smashers
1901	Launching of the New Battleship 'Ohio' at San Francisco, Cal. When President McKinley Was There
1901	Laura Comstock's Bag-Punching Dog
1901	The Life of a Fireman
1901	Love by the Light of the Moon
1901	The Martyred Presidents
1901	Midway Dance
1901	Miles Canyon Tramway
1901	Montreal Fire Department on Runners
1901	Mounted Police Charge
1901	The Old Maid Having Her Picture Taken
1901	Opening of the Pan-American Exposition Showing Vice President Roosevelt Leading the Procession
1901	Pan-American Exposition by Night
1901	Panorama of the Exposition, No. 1
1901	Panorama of the Exposition, No. 2
1901	Panoramic View of the Fleet After Yacht Race
1901	Panoramic View of the Temple of Music and Esplanade
1901	Panoramic View, Asheville, N.C.
1901	Le Petit chaperon rouge
1901	Photographing the Audience
1901	Pie, Tramp and the Bulldog
1901	President McKinley and Escort Going to the Capitol
1901	President McKinley Taking the Oath
1901	President McKinley's Speech at the Pan-American Exposition
1901	The Queen's Funeral
1901	Le Rêve de Noël
1901	Rocking Gold in the Klondike
1901	Ruhlin in His Training Quarters
1901	Shad Fishing at Gloucester, N.J.
1901	Terrible Teddy, the Grizzly King
1901	The Tramp's Dream
1901	Tramp's Nap Interrupted
1901	Trapeze Disrobing Act
1901	A Trip Around the Pan-American Exposition
1901	Turkish Dance
1901	Twelve in a Barrel
1901	Two Rubes at the Theatre
1901	Upper Falls of the Yellowstone
1901	Washing Gold on 20 Above Hunker, Klondike
1901	Wedding Procession in Cairo
1901	Why Mr. Nation Wants a Divorce
1901	Wonderful Trick Donkey, The
1901	Yacht Race Fleet Following the Committee Boat 'Navigator' Oct. 4th, The
1901	You Can't Lose Your Mother-in-Law
1902	Arrival of Prince Henry (of Prussia) and President Roosevelt at Shooter's Island (1902)
1902	The Burlesque Suicide, No. 2
1902	Burning of Durland's Riding Academy
1902	The Interrupted Bathers
1902	Jack and the Beanstalk
1902	Who Said Watermelon?
1903	After Dark; or, the Policeman and His Lantern
1903	Alice in Wonderland
1903	An Up-to-Date Studio
1903	A Visit to the Zoo
1903	At Work in a Peat Bog
1903	Automobile Explosion
1903	The Ascent of Mount Blanc
1903	Bicycle Dive
1903	Bloodhounds Tracking a Convict
1903	Buying a Baby
1903	Cliff Scenery at the Fabbins
1903	Close Quarters, with a Notion of the Motion of the Ocean
1903	Cruelty on the High Seas
1903	A Coach Drive from Glengariffe to Kenmore
1903	Discovered Through an Opera Glass
1903	A Drove of Wild Welsh Mountain Ponies
1903	The Delhi Camp Railway
1903	DeVoy's Revolving Ladder Act
1903	The Deserter
1903	The Effects of a Trolley Car Collision
1903	Firemen to the Rescue
1903	The Goose Takes a Trolley Ride
1903	Egyptian Fakir with Dancing Monkey
1903	Electrocuting an Elephant
1903	English Barnyard Scene
1903	Every Day Is Sunshine When the Heart Beats True
1903	Fire!
1903	Fife Getting Instructions from Committee
1903	Fun on Board a Fishing Smack
1903	The Great Train Robbery
1903	Hop Picking
1903	How to Shut Up a Quarrelsome Wife
1903	Light Heavyweight Championship Contest Between Root and Gardner
1903	Little Tich and His Funny Feet
1903	Murder Scene from 'King of the Detectives'
1903	Moses in the Bullrushes
1903	Murphy's Wake
1903	New York Harbor Police Boat Patrol Capturing Pirates
1903	Nicholas Nickleby
1903	Old Irish Cabin
1903	On the Bow River Horse Ranch at Cochrane, North West Territory
1903	Only a Soldier Boy
1903	Our New Cook
1903	Over the Garden Wall
1903	Panorama of the Lakes of Killarney from Hotel
1903	Passengers Embarking from S.S. Augusta Victoria, at Beyrouth
1903	The Pigeons, Place St. Marc, Venice
1903	Pittsburgh Fire Department in Full Run
1903	Polo Match for the Championship at Hurlingham
1903	The Puzzled Bather and His Animated Clothes
1903	Quarrelsome Neighbours
1903	Railway Ride in the Alps
1903	Reproduction of the Corbett-McGovern Fight
1903	Rock of Ages
1903	The Runaway Match, or Marriage by Motor
1903	Saturday Shopping
1903	Scene in Canada -- Logging at Bear Creek
1903	Scene in Canada -- Spearing Salmon in a Mountain Stream
1903	A Search for Evidence
1903	Sensational Hurdle Race
1903	A Shocking Accident
1903	S.S. St. Louis
1903	Street Car Chivalry
1903	A Substantial Ghost
1903	The Tragical Tale of a Belated Letter
1903	The Tramp's First Bath
1903	A Trip Through the Gap of Dunloe
1903	A Trip to the Giant's Causeway
1903	Trouble in Hogan's Alley
1903	Trout Fishing, Landing Three Pounder
1903	True Love Never Runs Smooth
1903	Turning the Tables
1903	Two Little Vagabonds; or, The Pugilistic Parson
1903	The Unexpected Bath
1903	Wait Till Jack Comes Home
1903	What Happened in the Tunnel
1903	Wiring Pike in a Mill Stream
1903	The Workman's Paradise
1904	Alligator Farm
1904	The Automobile Race
1904	The Chicago Fire
1904	The Child Stealers
1904	Decoyed
1904	A Ferry in the Far East
1904	Fording a Stream
1904	The Great Baltimore Fire
1904	High Diving and Reverse
1904	Hurdle Jumping
1904	An Intelligent Elephant
1904	The Monkey Bicyclist
1904	Monkey, Dog and Pony Circus
1904	Nervy Nat Kisses the Bride
1904	A Nigger in the Woodpile
1904	Parsifal
1904	The Lover's Ruse
1904	A Race for a Kiss
1904	Raid on a Coiner's Den
1904	Revenge!
1904	A Railway Tragedy
1904	Scarecrow Pump
1904	The Strenuous Life; or, Anti-Race Suicide
1904	The Suburbanite
1904	Westinghouse Works, 1904
1905	Adventures of Sherlock Holmes; or, Held for Ransom
1905	Airy Fairy Lillian Tries on Her New Corsets
1905	A Ballroom Tragedy
1905	Burglar Bill
1905	Coney Island at Night
1905	A Dog Lost, Strayed or Stolen
1905	Hippodrome Races, Dreamland, Coney Island
1905	Escape from Sing Sing
1905	The Green Goods Man; or, Josiah and Samanthy's Experience with the Original 'American Confidence Game'
1905	The Great Jewel Mystery
