headliner_name,event_date,event_venue,event_status,venue_address,artist_genre,ticket_link,n_listeners,artist_playcount,top_album,album_playcount
Jeezy,2023-11-24,Smart Financial Centre at Sugar Land,scheduled,"18111 Lexington Blvd., Sugar Land Texas 77479",['hip-hop-rap'],http://www.smartfinancialcentre.net/?utm_source=jambase,202928,1400620,The Recession (Edited Version),2679637.0
Dillon Francis,2023-12-16,Superstition,scheduled,"112 E Riverside Dr, Austin Texas 78704","['edm', 'indie', 'pop']",https://link.dice.fm/Bbf71c14e43d,202928,1400620,"Money Sucks, Friends Rule",1078778.0
Sofar Sounds Austin Secret Concert,2023-12-15,Sofar Sounds East Cesar Chavez,scheduled,", Austin Texas ",[],https://sofarsounds.sjv.io/c/252938/1332467/16078?u=https://www.sofarsounds.com/events/52862,202928,1400620,,
Rumours of Fleetwood Mac,2023-12-15,3TEN Austin City Limits Live,scheduled,"310 Willie Nelson Blvd, Suite 1A, Austin Texas 78701",[],https://3tenaustin.com/?utm_source=jambase,202928,1400620,(null),280.0
Wilson Fairchild,2023-12-15,Old Town Theatre,scheduled,"1023 12th Street, Huntsville Texas 77340",[],https://seatgeek.pxf.io/c/252938/1756891/20501?url=https%3A%2F%2Fseatgeek.com%2Fwilson-fairchild-tickets%2Fhuntsville-texas-old-town-theater-2023-12-15-7-pm%2Fconcert%2F6283837%3Faid%3D13185,202928,1400620,Country On,1422.0
Rocky Mountain High Experience: A John Denver Tribute,2023-12-15,Tobin Center for the Performing Arts,scheduled,"100 Auditorium Cir, San Antonio Texas 78205",[],https://www.tobincenter.org/?utm_source=jambase,202928,1400620,,
Ruckus,2023-12-15,Komodo Lounge,scheduled,"2550 Pacific Avenue, Dallas Texas 75226",[],https://www.tixr.com/groups/komododallas/events/ruckus-84479?utm_source=jambase&utm_campaign=jambase,202928,1400620,Of Malice And Man,32077.0
The Blessed Madonna,2023-12-15,It’ll Do,scheduled,"4322 Elm Street, Dallas Texas 75226",[],https://www.eventbrite.com/e/the-blessed-madonna-at-itll-do-club-tickets-735028087797,202928,1400620,Serotonin Moonbeams,169080.0
McAllen Wind Ensemble,2023-12-15,McAllen Performing Arts Center,scheduled,"801 Convention Center Blvd., McAllen Texas 78501",[],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fchristmas-with-a-twist-presented-by-mcallen-texas-12-15-2023%2Fevent%2F3A005F300AE1628F,202928,1400620,,
The Spazmatics,2023-12-15,Scout Bar,scheduled,"18307 Egret Bay Blvd., Houston Texas 77058",[],http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=574264&afflky=369NMM,202928,1400620,Vampire Girls,31.0
